ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-1.204269927595932139e-03,3.338704690508503305e-03,-5.997782199295091488e+00
-1.207765528881231528e-03,3.337460552216426658e-03,-5.997782188218996779e+00
-1.211259825312005706e-03,3.336212754087095143e-03,-5.997782177147036542e+00
-1.214752813056534575e-03,3.334961297489121446e-03,-5.997782166079221433e+00
-1.218244488284533737e-03,3.333706183795131974e-03,-5.997782155015564776e+00
-1.221734847167158184e-03,3.332447414381758607e-03,-5.997782143956077228e+00
-1.225223885877007278e-03,3.331184990629646077e-03,-5.997782132900773888e+00
-1.228711600588129312e-03,3.329918913923445890e-03,-5.997782121849663639e+00
-1.232197987476024324e-03,3.328649185651814599e-03,-5.997782110802760691e+00
-1.235683042717649087e-03,3.327375807207409459e-03,-5.997782099760075702e+00
-1.239166762491420359e-03,3.326098779986892771e-03,-5.997782088721621996e+00
-1.242649142977222260e-03,3.324818105390929708e-03,-5.997782077687411117e+00
-1.246130180356405832e-03,3.323533784824183115e-03,-5.997782066657456390e+00
-1.249609870811796202e-03,3.322245819695311339e-03,-5.997782055631767584e+00
-1.253088210527695829e-03,3.320954211416970829e-03,-5.997782044610357133e+00
-1.256565195689890359e-03,3.319658961405814405e-03,-5.997782033593240136e+00
-1.260040822485649498e-03,3.318360071082485617e-03,-5.997782022580425476e+00
-1.263515087103734376e-03,3.317057541871620916e-03,-5.997782011571924699e+00
-1.266987985734399722e-03,3.315751375201847484e-03,-5.997782000567753791e+00
-1.270459514569399068e-03,3.314441572505778897e-03,-5.997781989567922523e+00
-1.273929669801988429e-03,3.313128135220015993e-03,-5.997781978572441552e+00
-1.277398447626930649e-03,3.311811064785144705e-03,-5.997781967581324203e+00
-1.280865844240499729e-03,3.310490362645738659e-03,-5.997781956594583797e+00
-1.284331855840485171e-03,3.309166030250349638e-03,-5.997781945612230103e+00
-1.287796478626194356e-03,3.307838069051508879e-03,-5.997781934634277334e+00
-1.291259708798460359e-03,3.306506480505730979e-03,-5.997781923660736147e+00
