gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.197275071593024293e-03,3.341182678391955291e-03,-8.997782222233789540e+00
-1.202521886819494807e-03,3.339326085763799374e-03,-8.997782205655147081e+00
-1.207765779070233206e-03,3.337461253893714546e-03,-8.997782189081661386e+00
-1.213006735407125584e-03,3.335588187383814202e-03,-8.997782172513780097e+00
-1.218244742899304628e-03,3.333706890856524916e-03,-8.997782155951915328e+00
-1.223479788623182355e-03,3.331817368954579934e-03,-8.997782139396441892e+00
-1.228711859662481127e-03,3.329919626341008333e-03,-8.997782122847697295e+00
-1.233940943108264871e-03,3.328013667699113772e-03,-8.997782106305990624e+00
-1.239167026058973341e-03,3.326099497732476658e-03,-8.997782089771606095e+00
-1.244390095620451827e-03,3.324177121164932462e-03,-8.997782073244804835e+00
-1.249610138905982810e-03,3.322246542740563916e-03,-8.997782056725821320e+00
-1.254827143036319360e-03,3.320307767223690167e-03,-8.997782040214872268e+00
-1.260041095139715272e-03,3.318360799398851167e-03,-8.997782023712161958e+00
-1.265251982351958465e-03,3.316405644070800733e-03,-8.997782007217868028e+00
-1.270459791816400466e-03,3.314442306064490067e-03,-8.997781990732162782e+00
-1.275664510683991977e-03,3.312470790225062120e-03,-8.997781974255206094e+00
-1.280866126113309111e-03,3.310491101417830772e-03,-8.997781957787136520e+00
-1.286064625270589385e-03,3.308503244528274330e-03,-8.997781941328092614e+00
-1.291259995329761866e-03,3.306507224462027286e-03,-8.997781924878198723e+00
-1.296452223472477740e-03,3.304503046144859502e-03,-8.997781908437572085e+00
-1.301641296888144577e-03,3.302490714522668402e-03,-8.997781892006322835e+00
-1.306827202773956469e-03,3.300470234561469433e-03,-8.997781875584546896e+00
-1.312009928334924172e-03,3.298441611247376545e-03,-8.997781859172347296e+00
-1.317189460783910453e-03,3.296404849586599163e-03,-8.997781842769814631e+00
-1.322365787341655890e-03,3.294359954605421796e-03,-8.997781826377027059e+00
-1.327538895236816821e-03,3.292306931350196236e-03,-8.997781809994071622e+00
-1.332708771705991583e-03,3.290245784887326809e-03,-8.997781793621022928e+00
-1.337875403993755855e-03,3.288176520303259104e-03,-8.997781777257953806e+00
-1.343038779352691931e-03,3.286099142704468259e-03,-8.997781760904935311e+00
-1.348198885043419299e-03,3.284013657217442483e-03,-8.997781744562034945e+00
-1.353355708334629329e-03,3.281920068988675686e-03,-8.997781728229314879e+00
-1.358509236503114333e-03,3.279818383184650559e-03,-8.997781711906835511e+00
-1.363659456833798793e-03,3.277708604991828607e-03,-8.997781695594662565e+00
-1.368806356619771663e-03,3.275590739616634963e-03,-8.997781679292845780e+00
-1.373949923162317817e-03,3.273464792285448420e-03,-8.997781663001447328e+00
-1.379090143770948188e-03,3.271330768244583211e-03,-8.997781646720518722e+00
-1.384227005763432510e-03,3.269188672760283808e-03,-8.997781630450115031e+00
-1.389360496465829676e-03,3.267038511118706707e-03,-8.997781614190282440e+00
-1.394490603212520047e-03,3.264880288625906547e-03,-8.997781597941076015e+00
-1.399617313346233861e-03,3.262714010607826575e-03,-8.997781581702547271e+00
-1.404740614218086357e-03,3.260539682410284763e-03,-8.997781565474738841e+00
-1.409860493187606182e-03,3.258357309398956896e-03,-8.997781549257700462e+00
-1.414976937622768136e-03,3.256166896959369200e-03,-8.997781533051480096e+00
-1.420089934900023746e-03,3.253968450496879695e-03,-8.997781516856120376e+00
-1.425199472404330538e-03,3.251761975436667351e-03,-8.997781500671672816e+00
-1.430305537529188032e-03,3.249547477223720809e-03,-8.997781484498176496e+00
-1.435408117676663115e-03,3.247324961322818442e-03,-8.997781468335677602e+00
-1.440507200257426686e-03,3.245094433218524872e-03,-8.997781452184222317e+00
-1.445602772690777506e-03,3.242855898415164962e-03,-8.997781436043849723e+00
-1.450694822404681233e-03,3.240609362436821204e-03,-8.997781419914606005e+00
-1.455783336835797309e-03,3.238354830827315078e-03,-8.997781403796533795e+00
-1.460868303429509315e-03,3.236092309150193601e-03,-8.997781387689673949e+00
-1.465949709639956201e-03,3.233821802988715022e-03,-8.997781371594070876e+00
-1.471027542930065674e-03,3.231543317945836675e-03,-8.997781355509765433e+00
-1.476101790771583910e-03,3.229256859644202404e-03,-8.997781339436796699e+00
-1.481172440645104390e-03,3.226962433726123913e-03,-8.997781323375207307e+00
-1.486239480040101079e-03,3.224660045853571660e-03,-8.997781307325039890e+00
-1.491302896454959649e-03,3.222349701708158379e-03,-8.997781291286335303e+00
-1.496362677397005672e-03,3.220031406991123030e-03,-8.997781275259136180e+00
-1.501418810382537791e-03,3.217705167423325161e-03,-8.997781259243474494e+00
-1.506471282936857432e-03,3.215370988745218025e-03,-8.997781243239399984e+00
-1.511520082594301111e-03,3.213028876716848576e-03,-8.997781227246951730e+00
-1.516565196898268407e-03,3.210678837117827977e-03,-8.997781211266168810e+00
-1.521606613401256004e-03,3.208320875747332906e-03,-8.997781195297088530e+00
-1.526644319664885018e-03,3.205954998424077797e-03,-8.997781179339755298e+00
-1.531678303259934384e-03,3.203581210986311371e-03,-8.997781163394206416e+00
-1.536708551766370568e-03,3.201199519291791917e-03,-8.997781147460482742e+00
-1.541735052773377055e-03,3.198809929217782087e-03,-8.997781131538623356e+00
-1.546757793879386658e-03,3.196412446661027213e-03,-8.997781115628669113e+00
-1.551776762692112527e-03,3.194007077537749668e-03,-8.997781099730657317e+00
-1.556791946828575907e-03,3.191593827783621110e-03,-8.997781083844632377e+00
-1.561803333915139959e-03,3.189172703353760751e-03,-8.997781067970628044e+00
-1.566810911587537087e-03,3.186743710222713234e-03,-8.997781052108688726e+00
-1.571814667490902982e-03,3.184306854384435625e-03,-8.997781036258849952e+00
-1.576814589279803506e-03,3.181862141852281368e-03,-8.997781020421150799e+00
-1.581810664618268306e-03,3.179409578658992045e-03,-8.997781004595637455e+00
-1.586802881179819004e-03,3.176949170856670918e-03,-8.997780988782338341e+00
-1.591791226647500633e-03,3.174480924516779028e-03,-8.997780972981303194e+00
-1.596775688713911352e-03,3.172004845730112647e-03,-8.997780957192563989e+00
-1.601756255081234533e-03,3.169520940606793298e-03,-8.997780941416163358e+00
-1.606732913461265651e-03,3.167029215276248241e-03,-8.997780925652136830e+00
-1.611705651575447628e-03,3.164529675887202236e-03,-8.997780909900528812e+00
-1.616674457154895772e-03,3.162022328607651950e-03,-8.997780894161374832e+00
-1.621639317940430950e-03,3.159507179624859458e-03,-8.997780878434710417e+00
-1.626600221682610384e-03,3.156984235145333592e-03,-8.997780862720581752e+00
-1.631557156141757135e-03,3.154453501394817363e-03,-8.997780847019024364e+00
-1.636510109087987866e-03,3.151914984618266278e-03,-8.997780831330073781e+00
-1.641459068301247531e-03,3.149368691079839234e-03,-8.997780815653774411e+00
-1.646404021571335613e-03,3.146814627062881602e-03,-8.997780799990163558e+00
-1.651344956697938654e-03,3.144252798869907450e-03,-8.997780784339276750e+00
-1.656281861490659741e-03,3.141683212822585659e-03,-8.997780768701154841e+00
-1.661214723769046915e-03,3.139105875261724750e-03,-8.997780753075836913e+00
-1.666143531362625912e-03,3.136520792547255101e-03,-8.997780737463360268e+00
-1.671068272110928571e-03,3.133927971058216369e-03,-8.997780721863765763e+00
-1.675988933863523838e-03,3.131327417192741880e-03,-8.997780706277087148e+00
-1.680905504480044877e-03,3.128719137368035207e-03,-8.997780690703368833e+00
-1.685817971830223978e-03,3.126103138020365838e-03,-8.997780675142642792e+00
-1.690726323793917711e-03,3.123479425605045316e-03,-8.997780659594955210e+00
-1.695630548261139233e-03,3.120848006596413371e-03,-8.997780644060338062e+00
-1.700530633132089301e-03,3.118208887487823600e-03,-8.997780628538833980e+00
-1.705426566317182072e-03,3.115562074791624388e-03,-8.997780613030480268e+00
-1.710318335737078714e-03,3.112907575039144167e-03,-8.997780597535314229e+00
-1.715205929322715815e-03,3.110245394780679698e-03,-8.997780582053371390e+00
-1.720089335015335518e-03,3.107575540585471360e-03,-8.997780566584694384e+00
-1.724968540766514801e-03,3.104898019041691867e-03,-8.997780551129316962e+00
-1.729843534538194529e-03,3.102212836756431530e-03,-8.997780535687281755e+00
-1.734714304302711766e-03,3.099520000355680035e-03,-8.997780520258622516e+00
-1.739580838042826009e-03,3.096819516484307800e-03,-8.997780504843383653e+00
-1.744443123751751069e-03,3.094111391806052963e-03,-8.997780489441597140e+00
-1.749301149433183690e-03,3.091395633003503167e-03,-8.997780474053305610e+00
-1.754154903101335207e-03,3.088672246778081682e-03,-8.997780458678544591e+00
-1.759004372780957138e-03,3.085941239850026590e-03,-8.997780443317351384e+00
-1.763849546507374570e-03,3.083202618958376905e-03,-8.997780427969765071e+00
-1.768690412326514791e-03,3.080456390860957395e-03,-8.997780412635821179e+00
-1.773526958294933736e-03,3.077702562334356899e-03,-8.997780397315562340e+00
-1.778359172479849603e-03,3.074941140173916617e-03,-8.997780382009024081e+00
-1.783187042959170606e-03,3.072172131193710593e-03,-8.997780366716240152e+00
-1.788010557821523815e-03,3.069395542226531406e-03,-8.997780351437253188e+00
-1.792829705166284864e-03,3.066611380123868916e-03,-8.997780336172100490e+00
-1.797644473103607874e-03,3.063819651755898561e-03,-8.997780320920819364e+00
-1.802454849754453860e-03,3.061020364011459664e-03,-8.997780305683447111e+00
-1.807260823250621306e-03,3.058213523798043298e-03,-8.997780290460019259e+00
-1.812062381734774567e-03,3.055399138041770598e-03,-8.997780275250576665e+00
-1.816859513360472500e-03,3.052577213687376282e-03,-8.997780260055153079e+00
-1.821652206292199245e-03,3.049747757698196941e-03,-8.997780244873789357e+00
-1.826440448705392858e-03,3.046910777056148489e-03,-8.997780229706522803e+00
-1.831224228786471325e-03,3.044066278761706212e-03,-8.997780214553388944e+00
-1.836003534732869860e-03,3.041214269833898698e-03,-8.997780199414426860e+00
-1.840778354753059339e-03,3.038354757310274441e-03,-8.997780184289673855e+00
-1.845548677066584028e-03,3.035487748246901846e-03,-8.997780169179163678e+00
-1.850314489904087388e-03,3.032613249718340166e-03,-8.997780154082937187e+00
-1.855075781507339611e-03,3.029731268817621725e-03,-8.997780139001033461e+00
-1.859832540129269067e-03,3.026841812656244114e-03,-8.997780123933486252e+00
-1.864584754033990054e-03,3.023944888364140694e-03,-8.997780108880332861e+00
-1.869332411496832077e-03,3.021040503089674097e-03,-8.997780093841610594e+00
-1.874075500804368898e-03,3.018128663999607164e-03,-8.997780078817358529e+00
-1.878814010254447817e-03,3.015209378279098615e-03,-8.997780063807613971e+00
-1.883547928156216337e-03,3.012282653131670082e-03,-8.997780048812410669e+00
